ID,KAST,IMPACT,RATING,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps   played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round
nexa,73.2%,1.02,1.05,23191,51.0%,21037,1.1,76.5,4.4,1253,33161,0.7,0.13,0.63,0.1,0.11
SLOWLY,71.6%,1.14,1.11,10379,59.3%,9750,1.06,79.0,2.9,540,14298,0.73,0.13,0.68,0.1,0.1
remix,69.8%,1.1,1.08,7329,27.3%,6772,1.08,71.9,2.0,386,10284,0.71,0.09,0.66,0.09,0.1
Gratisfaction,70.8%,1.14,1.05,16191,31.9%,14502,1.12,73.2,3.3,897,23347,0.69,0.12,0.62,0.1,0.1
shalfey,71.0%,1.09,1.11,7371,46.8%,6597,1.12,77.1,3.6,388,10425,0.71,0.12,0.63,0.08,0.09
malbsMd,68.9%,1.2,1.1,10305,62.9%,9931,1.04,80.3,4.9,537,13737,0.75,0.12,0.72,0.11,0.11
suNny,70.0%,1.14,1.06,25493,47.4%,23890,1.07,80.7,4.9,1313,34614,0.74,0.14,0.69,0.09,0.09
olofmeister,69.3%,1.01,1.06,29037,46.6%,26340,1.1,72.8,4.4,1559,40766,0.71,0.13,0.65,0.09,0.08
TOR,68.9%,1.14,1.06,8271,28.9%,7614,1.09,77.0,2.9,452,11472,0.72,0.12,0.66,0.08,0.09
tucks,71.2%,1.11,1.06,12952,43.9%,11725,1.1,76.0,4.1,718,18208,0.71,0.13,0.64,0.09,0.09
koosta,69.5%,1.12,1.06,18522,37.3%,17181,1.08,76.1,3.6,977,25766,0.72,0.12,0.67,0.09,0.1
Valiance,72.4%,1.04,1.1,11789,51.5%,10705,1.1,75.5,3.6,651,16853,0.7,0.13,0.64,0.1,0.11
Maka,69.9%,1.15,1.1,22548,35.8%,20403,1.11,74.7,4.6,1199,31846,0.71,0.11,0.64,0.09,0.08
pancc,70.3%,1.15,1.11,11087,53.6%,10300,1.08,79.9,5.2,581,15327,0.72,0.14,0.67,0.09,0.1
Skadoodle,73.1%,0.95,1.06,18365,24.8%,15907,1.15,67.5,2.7,1047,27129,0.68,0.11,0.59,0.09,0.09
COLDYY1,71.5%,1.07,1.06,17902,55.1%,16184,1.11,77.5,3.9,947,24917,0.72,0.13,0.65,0.09,0.11
b4rtiN,72.9%,1.06,1.1,10108,55.1%,9163,1.1,74.7,3.6,544,14251,0.71,0.12,0.64,0.1,0.11
acoR,69.9%,1.1,1.06,19475,38.1%,17493,1.11,73.2,3.7,1057,27637,0.7,0.1,0.63,0.09,0.1
Happy,67.8%,1.0,1.06,28022,41.2%,25277,1.11,77.5,2.7,1464,37933,0.74,0.12,0.67,0.06,0.07
flying,70.7%,1.08,1.09,7967,50.7%,7405,1.08,79.3,3.7,404,10799,0.74,0.12,0.69,0.09,0.1
NikkeZ,69.8%,1.15,1.06,7865,46.5%,7317,1.07,82.6,4.4,410,10558,0.74,0.15,0.69,0.09,0.1
SHiPZ,70.4%,1.15,1.11,33417,50.0%,31190,1.07,79.5,3.7,1695,45194,0.74,0.13,0.69,0.1,0.1
flameZ,71.4%,1.17,1.12,7461,53.0%,6945,1.07,79.6,6.0,387,10352,0.72,0.14,0.67,0.11,0.11
Ethan,72.1%,1.18,1.14,18853,49.4%,17365,1.09,81.4,4.3,986,25998,0.73,0.15,0.67,0.11,0.11
AnJ,71.7%,1.09,1.06,7530,50.7%,6767,1.11,77.2,3.8,403,10503,0.72,0.12,0.64,0.09,0.12
ofnu,71.4%,1.11,1.06,15793,48.9%,14413,1.1,79.7,5.2,852,21778,0.73,0.15,0.66,0.1,0.1
fame,70.7%,1.14,1.11,10046,57.7%,9168,1.1,77.9,3.3,518,13818,0.73,0.11,0.66,0.09,0.11
zhokiNg,72.7%,1.28,1.06,23446,51.0%,21956,1.07,83.9,3.8,1219,31137,0.75,0.17,0.71,0.12,0.1
hardzao,73.2%,1.05,1.11,12915,47.0%,11407,1.13,75.2,4.6,702,18441,0.7,0.12,0.62,0.1,0.1
b1t,72.2%,1.12,1.12,8439,68.0%,7547,1.12,76.3,4.5,452,11972,0.7,0.11,0.63,0.09,0.1
chelo,71.9%,1.15,1.06,16972,60.7%,15532,1.09,78.0,3.6,915,23714,0.72,0.13,0.65,0.1,0.1
snatchie,68.7%,1.15,1.06,30207,29.3%,27738,1.09,72.6,1.6,1557,41766,0.72,0.09,0.66,0.08,0.09
FalleN,71.7%,1.08,1.06,28701,30.8%,25025,1.15,71.7,3.5,1583,41454,0.69,0.11,0.6,0.08,0.08
dycha,70.4%,1.16,1.12,15852,53.6%,14609,1.09,81.2,4.7,813,21781,0.73,0.14,0.67,0.09,0.09
roeJ,71.6%,1.22,1.15,17651,55.3%,16225,1.09,83.5,4.3,896,23667,0.75,0.15,0.69,0.11,0.11
DD,72.8%,1.13,1.07,17368,41.9%,15847,1.1,81.5,3.1,913,23620,0.74,0.16,0.67,0.11,0.1
Brollan,70.6%,1.18,1.12,19311,52.5%,17799,1.08,79.0,4.8,1000,26548,0.73,0.13,0.67,0.09,0.1
HObbit,71.4%,1.13,1.07,22601,46.6%,20378,1.11,80.0,5.6,1184,31223,0.72,0.14,0.65,0.08,0.08
shz,71.7%,1.05,1.1,14923,51.1%,13456,1.11,77.2,3.2,801,20777,0.72,0.13,0.65,0.1,0.11
boltz,72.2%,1.09,1.07,24204,39.3%,21578,1.12,81.8,8.8,1304,33995,0.71,0.17,0.63,0.08,0.09
Pimp,70.8%,1.05,1.07,18116,46.6%,16100,1.13,78.3,3.9,976,25052,0.72,0.14,0.64,0.1,0.11
shroud,71.5%,1.04,1.07,12588,52.9%,11277,1.12,76.1,3.9,676,17460,0.72,0.14,0.65,0.09,0.11
somebody,71.6%,1.16,1.07,23702,45.8%,21561,1.1,79.9,3.5,1253,32437,0.73,0.13,0.66,0.1,0.09
QKA,69.5%,1.16,1.1,7690,40.4%,6988,1.1,75.8,1.6,402,10409,0.74,0.1,0.67,0.08,0.09
WorldEdit,69.0%,1.15,1.07,25226,28.0%,22750,1.11,75.0,2.6,1328,34716,0.73,0.12,0.66,0.08,0.08
trk,73.7%,1.11,1.14,15742,48.2%,14243,1.11,79.5,4.9,828,21690,0.73,0.15,0.66,0.12,0.13
NikoM,72.2%,1.08,1.07,9031,46.5%,8174,1.1,79.8,4.5,483,12391,0.73,0.14,0.66,0.1,0.11
EspiranTo,70.3%,1.16,1.11,16973,59.9%,15656,1.08,77.3,3.2,870,22795,0.74,0.11,0.69,0.1,0.1
InfrequeNt,70.2%,1.18,1.07,8937,33.8%,8017,1.11,76.2,4.2,479,12350,0.72,0.12,0.65,0.09,0.1
fejtZ,72.0%,1.09,1.07,14831,46.2%,13489,1.1,77.0,3.6,759,20147,0.74,0.13,0.67,0.1,0.13
CRUC1AL,70.0%,1.15,1.07,27809,29.0%,25011,1.11,73.7,2.6,1472,38605,0.72,0.1,0.65,0.1,0.11
paz,71.5%,1.08,1.07,20217,51.2%,18219,1.11,76.2,2.4,1068,27990,0.72,0.12,0.65,0.1,0.1
xand,71.7%,1.12,1.07,9681,50.2%,8806,1.1,80.4,4.7,515,13210,0.73,0.14,0.67,0.1,0.1
anarkez,69.5%,1.17,1.11,13825,30.8%,12418,1.11,73.2,2.3,717,19194,0.72,0.09,0.65,0.09,0.08
broky,72.5%,1.01,1.1,13169,38.2%,11492,1.15,72.9,3.6,707,18862,0.7,0.1,0.61,0.1,0.11
hallzerk,69.9%,1.15,1.1,14681,34.1%,13276,1.11,74.0,3.1,746,20275,0.72,0.09,0.65,0.1,0.11
